"Visualization ID","Mode","Statistic","Year","Value","Units","Name","Year ","Percent_1","change_from_previous_year_1","Commuting Mode","Rank","Date","Year 1"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","6,208","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"10/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","6,170","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"11/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2000","5,655","Thousands","U.S. Airline Passenger Enplanements","2000",,,,,"12/01/2000","2000"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,846","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"01/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,798","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"02/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,834","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"03/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,905","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"04/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,853","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"05/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,868","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"06/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,801","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"07/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","5,909","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"08/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","4,516","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"09/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","4,198","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"10/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","4,617","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"11/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2001","4,849","Thousands","U.S. Airline Passenger Enplanements","2001",,,,,"12/01/2001","2001"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,017","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"01/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,170","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"02/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,274","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"03/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,245","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"04/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,274","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"05/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,297","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"06/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,303","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"07/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,441","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"08/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,570","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"09/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,635","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"10/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,631","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"11/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2002","5,531","Thousands","U.S. Airline Passenger Enplanements","2002",,,,,"12/01/2002","2002"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,491","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"01/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,273","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"02/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,075","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"03/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","4,647","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"04/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","4,752","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"05/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,109","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"06/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,417","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"07/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,582","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"08/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,649","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"09/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,690","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"10/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,881","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"11/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2003","5,784","Thousands","U.S. Airline Passenger Enplanements","2003",,,,,"12/01/2003","2003"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","5,787","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"01/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","5,859","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"02/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","5,903","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"03/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","5,949","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"04/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","5,998","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"05/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,174","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"06/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,191","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"07/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,256","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"08/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,260","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"09/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,444","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"10/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,468","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"11/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2004","6,483","Thousands","U.S. Airline Passenger Enplanements","2004",,,,,"12/01/2004","2004"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,650","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"01/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,744","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"02/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,791","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"03/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,854","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"04/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,828","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"05/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,798","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"06/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,788","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"07/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,694","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"08/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,829","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"09/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,752","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"10/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,818","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"11/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2005","6,900","Thousands","U.S. Airline Passenger Enplanements","2005",,,,,"12/01/2005","2005"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","6,947","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"01/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,009","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"02/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,155","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"03/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,357","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"04/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,297","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"05/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,223","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"06/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,212","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"07/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,083","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"08/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,154","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"09/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,239","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"10/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,339","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"11/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2006","7,395","Thousands","U.S. Airline Passenger Enplanements","2006",,,,,"12/01/2006","2006"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,414","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"01/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,404","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"02/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,467","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"03/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,466","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"04/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,447","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"05/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,493","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"06/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,482","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"07/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,465","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"08/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,629","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"09/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,756","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"10/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,781","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"11/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2007","7,760","Thousands","U.S. Airline Passenger Enplanements","2007",,,,,"12/01/2007","2007"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,786","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"01/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,831","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"02/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,854","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"03/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,872","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"04/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,821","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"05/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,664","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"06/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,601","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"07/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,602","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"08/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,270","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"09/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,381","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"10/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,351","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"11/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2008","7,350","Thousands","U.S. Airline Passenger Enplanements","2008",,,,,"12/01/2008","2008"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,300","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"01/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,270","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"02/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,095","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"03/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,322","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"04/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","6,668","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"05/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,053","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"06/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,142","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"07/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,268","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"08/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,176","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"09/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,135","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"10/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,140","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"11/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2009","7,306","Thousands","U.S. Airline Passenger Enplanements","2009",,,,,"12/01/2009","2009"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,344","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"01/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,392","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"02/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,503","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"03/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,148","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"04/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,491","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"05/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,665","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"06/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,615","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"07/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,663","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"08/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,755","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"09/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,969","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"10/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,784","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"11/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2010","7,654","Thousands","U.S. Airline Passenger Enplanements","2010",,,,,"12/01/2010","2010"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,684","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"01/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,644","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"02/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,633","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"03/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,712","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"04/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,763","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"05/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,681","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"06/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,848","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"07/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,722","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"08/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,739","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"09/01/2011","2011"
"Figure 2-13","U.S. Airline Passenger Enplanements","International","2011","7,737","Thousands","U.S. Airline Passenger Enplanements","2011",,,,,"10/01/2011","2011"
